ID,Nome,Localidade,Profissao
15094626,Edmundo Caparica,Viana do castelo    Paredes de Coura    Formariz    614    505,Ator
27786475,Daniel Quintas,Braga    Terras de Bouro Balança    393    445,Educador social
24456158,Delores Mascare�as,Coimbra    Cantanhede    Covões    2 468     2 821,Engenheiro civil
17122098,Adorinda Meira,Vila Real    Vila Real    Mouçós    2 906     2 274,Cozinheiro / chef
34175623,Nat�lio Lousada,Faro    Vila do Bispo    Barão de S. Miguel    440    1 486,Motorista
28898029,Cleide Valim,Viana do castelo    Ponte de Lima    Gondufe    435    608,Gestor de produto
98795929,Maristela Bezerra,Viana do castelo    Arcos de Valdevez    Rio de Moinhos    499    410,Analista de dados
68723440,Ernesto Saldanha,Coimbra    Lousã    Casal de Ermio    362    424,Gestor de projetos IT
67516676,Sara Canedo,Porto    Maia    Moreira    10 280     875,Gestor
26952685,Orlanda Outeiro,Braga    Braga    Panoias    1 630     115,Esteticista
10905696,Alba Barrocas,Castelo Branco    Castelo Branco    Malpica do Tejo    758    24 610,Engenheiro industrial
66030401,Serafim Raposo,Évora    Arraiolos    S. Gregório    396    7 436,Assistente dentário
30115772,Florival Penteado,Madeira    Funchal    S. Gonçalo    7 232     708,Tradutor
18027272,�scar Camargo,Santarem    Ferreira do Zêzere    Igreja Nova do Sobral    704    1 307,Soldador
35343236,Quirina Cabreira,Leiria    Leiria    Chainça    815    534,Especialista em inteligência artificial
75749360,Veloso Guterres,Braga    Celorico de Basto    Infesta    316    589,Escritor
91356154,Mafalda Aquino,Viseu    Viseu    Orgens    3 462     1 053,Técnico de análises clínicas
65768034,Flor�ncio Raposo,Guarda    Gouveia    Freixo da Serra    138    451,Economista
16806996,Fl�via Castanheira,Coimbra    Arganil    Pombeiro da Beira    1 252     3 238,Nutricionista
74200739,Darlene Portugal,Santarem    Santarem    Abitureiras    1 005     2 373,Diretor de hotel
40923773,Norma Carrilho,Porto    Gondomar    Caíde de Rei    2 636     666,Psicólogo
18554248,Neide Freire,Évora    Reguengos de Monsaraz    Corval    1 578     9 491,Engenheiro industrial
32907329,S�rgio Domingues,Braga    Vila Verde    Gomide    253    402,Engenheiro informático
11242099,Sabina Miguel,Santarem    Ourém    Urqueira    1 910     3 128,Estafeta
17285010,Valter Saloio,Braga    Celorico de Basto    Britelo    2 542     661,Diretor de hotel
