ID,Nome,Localidade,Profissao
66528633,Jacinto Carvalheiro,Leiria    Porto de Mós    Porto de Mós (S. Pedro)    2 869     1 618,Veterinário
92876233,Cl�vis Br�s,Castelo Branco    Covilhã    Coutada    476    774,Bombeiro
13802886,Amadeu Barbosa,Braga    Braga    Braga (Sé)    3 587     33,Gestor de transportes
23559783,Ema Beiriz,Coimbra    Oliveira do Hospital    Avô    633    771,Animador turístico
19167880,Rodrigo Macedo,Lisboa    Lisboa    Ameixoeira    9 644     162,Influenciador digital
27706036,Ang�lica Bivar,Lisboa    Alenquer    Abrigada    3 416     3 923,Dentista
97735077,Constantino Garcez,Braga    Guimarães    Conde    1 437     155,Empreendedor
35066205,Ad�o Set�bal,Açores    Vila do Porto    Santo Espírito    723    2 665,Cabeleireiro
11706621,Bonif�cio Milheir�o,Leiria    Leiria    Marrazes    20 444     1 890,Especialista em marketing digital
72595157,Sueli Var�o,Vila Real    Valpaços    Friões    786    2 769,Pintor
18616987,Abra�o Domingues,Setúbal    Palmela    Marateca    3 586     10 337,Juiz
47142975,F�tima Keil,Braga    Vieira do Minho Rossas    2 071     3 239,Gestor de projetos IT
11702974,N�bia Melancia,Castelo Branco    Fundão    Soalheira    1 130     1 394,Comercial / vendedor
52437632,Maria Dourado,Castelo Branco    Castelo Branco    Santo André das Tojeiras    1 033     7 509,Especialista em inteligência artificial
23911323,Bernardete Cavadas,Viseu    Sernancelhe    Longa    357    726,Consultor financeiro
44960461,Leticia Vaz,Guarda    Trancoso    Vale do Seixo    171    724,Auditor
71531578,Luciano Mont'Alverne,Bragança    Alfândega da Fé    Saldonha    102    842,Gestor de e-commerce
12549213,Ataliba Ribeiro,Setúbal    Santiago do Cacém    Santo André    10 696     7 432,Cientista de dados
76268577,Jonas Guimar�es,Porto    Vila Nova de Gaia    Seixezelo    1 729     161,Personal trainer
30962217,Solange Mondrag�o,Coimbra    Soure    Vila Nova de Anços    1 318     2 050,Gestor de transportes
20528585,Olinda Chagas,Vila Real    Alijó    Vila Chã    579    1 965,Analista de dados
16257313,B�rbara Lobo,Viana do castelo    Ponte de Lima    Mato    285    250,Veterinário
89052835,Raul Guerreiro,Lisboa    Lisboa    Sé    1 160     12,Gestor de projetos IT
27129756,Rosana Le�o,Açores    Ponta Delgada    Ajuda da Bretanha    (*)     (*),Especialista em marketing digital
38742468,Natanael Valcanaia,Coimbra    Tábua    Covelo    308    1 324,Estafeta
36027267,Calvino Monteiro,Braga    Braga    Adaúfe    3 959     1 016,Web designer
66471293,Soraia Mattos,Viana do castelo    Arcos de Valdevez    Gondoriz    1 109     3 622,Cozinheiro / chef
74499957,Firmino Moita,Vila Real    Chaves    Outeiro Seco    3 435     1 772,Barman
18752248,Salema Antas,Faro    Loulé    Querença    788    3 718,Funcionário público
13924707,Yara Galv�o,Viana do castelo    Paredes de Coura    Padornelo    458    965,Auditor
16606368,Cust�dio Macieira,Braga    Vila Verde    Mós    321    256,Gestor de e-commerce
30123427,Raimundo Cach�o,Santarem    Santarem    S. Vicente do Paúl    2 085     5 033,Serralheiro
11290542,Theo Furtado,Santarem    Rio Maior    S. Sebastião    564    1 548,Relações públicas
56558277,Ilda Carvalhoso,Viseu    Vouzela    Ventosa    921    1 821,Carpinteiro
97107819,Walter Quintanilha,Santarem    Vila Nova da Barquinha    Atalaia    1 735     1 439,Engenheiro químico
99955345,Manuela Lustosa,Lisboa    Cadaval    Vilar    1 688     1 685,Assistente social
39470061,Donato Lamego,Guarda    Pinhel    Vascoveiro    224    1 781,Gestor de e-commerce
64418917,Raimundo Varanda,Viseu    S. Pedro do Sul    Serrazes    1 104     1 619,Juiz
74087467,Cl�ber Vilas-Boas,Porto    Marco de Canaveses    Toutosa    557    98,Biólogo
32532173,Anast�cio Mafra,-----------------------------------------------------------,Formador profissional
18624895,Samuel Peralta,Viseu    S. João da Pesqueira    S. João da Pesqueira    1 989     5 074,Auditor
32366017,J�lio L�io,Vila Real    Vila Real    Constatim    971    726,Engenheiro informático
48789787,Rafael Macedo,Viseu    Tondela    Parada de Gonta    812    712,Farmacêutico
19401154,Eul�lia �gueda,Bragança    Miranda do Douro    Sendim    1 432     3 831,Consultor financeiro
17374864,Raimunda Pe�anha,Viana do castelo    Paredes de Coura    Castanheira    642    830,Explicador / tutor
85198776,Oleg�rio Cort�s,Aveiro    Águeda    Valongo do Vouga    5 006     3 961,Engenheiro eletrotécnico
